Wire initialized.
Initializing MPU9250...
MPU9250 Initialized successfully.
Haptic motors initialized.
Flex1,Flex2,FSR1,FSR2,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,0,46,64,-0.69,0.04,-0.70,-0.06,3.91,-0.98,0.00,0.00,0.00
0,0,46,65,-0.69,0.03,-0.70,0.06,3.91,-1.22,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.49,3.97,-0.67,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.24,3.85,-0.61,0.00,0.00,0.00
0,0,45,64,-0.69,0.03,-0.70,-4.03,1.83,3.97,0.00,0.00,0.00
0,0,46,64,-0.69,0.05,-0.70,1.95,4.64,-3.11,0.00,0.00,0.00
0,0,46,65,-0.69,0.03,-0.69,6.23,6.16,16.42,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
0,0,43,62,-0.68,0.05,-0.70,0.61,4.94,-5.07,0.00,0.00,0.00
68,0,46,65,-0.69,0.04,-0.70,-1.28,6.47,-0.18,0.00,0.00,0.00
110,0,46,65,-0.68,0.04,-0.70,-0.37,4.76,-0.49,0.00,0.00,0.00
262,0,48,66,-0.69,0.04,-0.70,-0.24,4.33,-0.18,0.00,0.00,0.00
360,0,47,66,-0.68,0.04,-0.71,0.00,4.15,-0.92,0.00,0.00,0.00
398,0,47,66,-0.69,0.05,-0.70,0.12,4.15,-1.28,0.00,0.00,0.00
378,0,46,65,-0.68,0.04,-0.71,-0.12,3.85,-1.10,0.00,0.00,0.00
302,0,45,65,-0.69,0.04,-0.70,0.12,3.42,-1.10,0.00,0.00,0.00
135,0,45,64,-0.69,0.04,-0.70,0.06,3.11,-1.34,0.00,0.00,0.00
0,0,45,64,-0.68,0.04,-0.70,-0.31,4.15,-0.43,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.92,4.09,0.12,0.00,0.00,0.00
0,0,46,65,-0.68,0.04,-0.71,-0.67,3.97,-0.06,0.00,0.00,0.00
0,0,46,65,-0.69,0.05,-0.70,-0.92,3.60,0.49,0.00,0.00,0.00
0,0,46,65,-0.68,0.05,-0.71,-0.31,4.15,-1.46,0.00,0.00,0.00
0,0,46,65,-0.69,0.05,-0.70,-1.83,3.66,1.71,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
0,0,43,61,-0.69,0.06,-0.70,-0.37,4.58,1.59,0.00,0.00,0.00
0,0,46,64,-0.68,0.05,-0.70,-0.06,3.72,-0.67,0.00,0.00,0.00
0,0,46,65,-0.68,0.05,-0.70,0.24,3.48,-1.83,0.00,0.00,0.00
0,0,46,65,-0.68,0.06,-0.71,-0.98,5.86,-0.06,0.00,0.00,0.00
0,244,209,174,-0.68,0.05,-0.71,-0.92,6.96,0.37,0.00,0.00,0.00
0,469,386,318,-0.69,0.05,-0.66,-0.06,7.93,0.00,0.00,0.00,0.00
0,518,466,410,-0.68,0.06,-0.72,0.24,6.04,-0.67,0.00,0.00,0.00
0,541,506,465,-0.68,0.05,-0.72,1.04,10.50,-1.28,0.00,0.00,0.00
0,524,507,484,-0.67,0.05,-0.71,0.98,9.83,-1.22,0.00,0.00,0.00
0,512,499,487,-0.67,0.05,-0.72,0.92,5.37,-2.01,0.00,0.00,0.00
0,438,446,452,-0.67,0.05,-0.72,0.49,3.54,-1.40,0.00,0.00,0.00
0,375,388,405,-0.67,0.05,-0.72,1.59,5.07,-3.66,0.00,0.00,0.00
0,278,304,333,-0.68,0.04,-0.71,-5.13,-2.50,-9.16,0.00,0.00,0.00
0,109,168,219,-0.68,0.05,-0.71,-0.49,2.50,-0.12,0.00,0.00,0.00
0,0,66,122,-0.68,0.04,-0.71,-0.18,1.59,-0.43,0.00,0.00,0.00
0,0,49,84,-0.68,0.04,-0.71,0.18,4.39,-1.95,0.00,0.00,0.00
0,0,46,71,-0.68,0.04,-0.72,-1.28,1.22,1.83,0.00,0.00,0.00
0,0,46,67,-0.68,0.05,-0.71,-0.49,2.20,-0.18,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
